id,time,moisture,humidity,temperature
1,2019-02-19 15:13:30,28,46.0,29.0
2,2019-02-20 16:17:18,56,78.0,29.0
3,2019-02-20 16:18:29,36,77.0,28.0
4,2019-02-20 16:19:22,40,67.0,27.0
5,2019-02-20 16:22:27,39,66.0,26.0
